,0,1
88,0.024925852,0.9750742
89,0.8993578,0.100642204
90,0.7465149,0.25348508
91,0.9873728,0.012627221
92,0.24098136,0.75901866
93,0.09717482,0.9028252
94,0.47667724,0.5233227
95,0.8408366,0.1591634
96,0.7409088,0.25909114
97,0.043046713,0.95695335
98,0.013698973,0.98630106
99,0.050122555,0.94987744
100,0.23895285,0.7610471
101,0.94264346,0.05735651
102,0.5997121,0.4002879
103,0.34845862,0.65154135
104,0.49376634,0.5062337
105,0.19106153,0.8089385
106,0.14109905,0.8589009
107,0.98777395,0.012226006
108,0.031617116,0.9683829
109,0.014698412,0.98530155
110,0.10011814,0.8998819
111,0.20136845,0.79863155
112,0.48499095,0.51500905
113,0.113414615,0.88658535
114,0.9978654,0.0021346349
115,0.31954277,0.6804573
116,0.28724024,0.7127598
117,0.20027967,0.79972035
118,0.7324837,0.2675163
119,0.85630316,0.1436968
120,0.052945565,0.9470545
121,0.97596496,0.024035057
122,0.14372401,0.856276
123,0.020097287,0.9799027
124,0.9703048,0.029695189
125,0.9904757,0.009524338
126,0.08079381,0.9192062
127,0.23210213,0.7678979
128,0.043762203,0.95623785
129,0.29898658,0.7010134
130,0.22870195,0.77129805
131,0.10984105,0.89015895
132,0.21832146,0.7816785
133,0.31740376,0.6825962
134,0.88054705,0.11945296
135,0.99715567,0.0028442792
136,0.08698162,0.91301835
137,0.13474046,0.8652595
138,0.052439623,0.94756037
139,0.038517367,0.96148264
140,0.050485075,0.94951487
141,0.113030426,0.88696957
142,0.040402714,0.95959735
143,0.12683952,0.8731605
144,0.98415357,0.01584649
145,0.22037433,0.7796257
146,0.0680461,0.93195385
147,0.15501873,0.84498125
148,0.338629,0.66137105
149,0.73738223,0.2626178
150,0.022596942,0.9774031
151,0.43368065,0.56631935
152,0.37434152,0.62565845
153,0.038119774,0.96188015
154,0.22904688,0.7709531
155,0.022414668,0.9775853
156,0.24394087,0.7560591
157,0.58567035,0.41432968
158,0.12891103,0.871089
159,0.15102123,0.84897876
160,0.033830963,0.966169
161,0.30730358,0.69269645
162,0.20387903,0.79612094
163,0.60999936,0.39000064
164,0.12217675,0.87782323
165,0.23862481,0.7613752
166,0.49253395,0.5074661
167,0.15251815,0.8474819
168,0.019650534,0.9803494
169,0.21128753,0.7887125
170,0.0777878,0.9222122
171,0.25651565,0.7434844
172,0.8678858,0.13211416
173,0.021418775,0.97858125
174,0.061539933,0.93846005
175,0.13740496,0.862595
176,0.70792943,0.29207054
177,0.03531939,0.9646806
178,0.90392905,0.09607099
179,0.16854899,0.831451
180,0.27918923,0.7208108
181,0.026407547,0.97359246
182,0.27024543,0.7297546
183,0.8042889,0.19571112
184,0.7598782,0.24012175
185,0.9894159,0.010584193
186,0.4633536,0.5366464
187,0.45116475,0.5488352
188,0.25522944,0.7447706
189,0.99973077,0.0002692257
190,0.90191036,0.098089665
191,0.03749097,0.96250904
192,0.9901037,0.009896326
193,0.05997378,0.9400262
194,0.9806982,0.019301848
195,0.90184164,0.098158404
196,0.57265246,0.42734754
197,0.16360554,0.8363944
198,0.79937565,0.2006244
199,0.9977793,0.0022206423
200,0.86886525,0.13113478
201,0.20759949,0.79240054
202,0.021001667,0.97899836
203,0.04438113,0.9556189
204,0.95975226,0.04024778
205,0.78010124,0.21989872
206,0.9985513,0.0014486408
207,0.07805771,0.9219423
208,0.067082725,0.93291724
209,0.019277329,0.9807226
210,0.30873793,0.6912621
211,0.9971896,0.00281047
212,0.999652,0.00034796377
213,0.20180702,0.798193
214,0.1628548,0.8371452
215,0.39882374,0.60117626
216,0.0186116,0.98138845
217,0.20520903,0.794791
218,0.16113383,0.8388662
219,0.13892016,0.8610799
220,0.99888295,0.0011170108
221,0.17727911,0.8227209
222,0.31650105,0.683499
223,0.9968119,0.0031880932
224,0.0930771,0.90692294
225,0.9994091,0.00059094385
226,0.062407803,0.93759215
227,0.015687922,0.9843121
228,0.070152074,0.9298479
229,0.06716068,0.93283933
230,0.98444945,0.015550544
231,0.99901044,0.0009895251
232,0.17741773,0.82258224
233,0.116836034,0.883164
234,0.31424478,0.6857552
235,0.21647266,0.7835273
236,0.025154438,0.9748455
237,0.9832064,0.016793614
238,0.11748342,0.8825166
239,0.10404712,0.8959529
240,0.22752313,0.77247685
241,0.995187,0.0048130336
242,0.14546376,0.85453624
243,0.3625548,0.6374452
244,0.058586646,0.9414134
245,0.08636052,0.9136394
246,0.10158835,0.89841163
247,0.17868316,0.82131684
248,0.022534532,0.9774655
249,0.024846843,0.9751532
250,0.26372626,0.7362737
251,0.07243215,0.92756784
252,0.1942212,0.80577874
253,0.9905687,0.009431361
254,0.56362295,0.43637708
255,0.13687702,0.863123
256,0.49658325,0.5034168
257,0.52993333,0.47006673
258,0.9843985,0.015601521
259,0.19555415,0.8044458
260,0.021855982,0.978144
261,0.13330966,0.86669034
262,0.16378574,0.83621424
263,0.034253884,0.9657461
264,0.092165776,0.90783423
265,0.01949415,0.9805058
266,0.27292615,0.72707385
267,0.20090997,0.79909
268,0.3227466,0.67725337
269,0.72545695,0.27454308
270,0.16476335,0.8352367
271,0.46773902,0.532261
272,0.307651,0.69234896
273,0.51694334,0.48305663
274,0.011475303,0.98852473
275,0.93528837,0.0647116
276,0.04743698,0.952563
277,0.06776414,0.9322359
278,0.18133976,0.81866026
279,0.27694365,0.7230563
280,0.885316,0.11468403
281,0.98150164,0.018498335
